City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
79,Acapulco,16.8634,-99.8901,84.45,52,3,5.46,MX,clear sky
80,Klaksvik,62.2266,-6.589,32.92,67,100,16.96,FO,overcast clouds
81,Souillac,-20.5167,57.5167,79.18,73,40,9.22,MU,scattered clouds
82,Mar Del Plata,-38.0023,-57.5575,74.82,66,40,14.97,AR,scattered clouds
83,Butaritari,3.0707,172.7902,80.29,80,34,15.14,KI,light rain
84,Thinadhoo,0.5333,72.9333,80.37,69,85,13.02,MV,overcast clouds
85,Nogliki,51.8333,143.1667,-10.5,72,88,17.58,RU,overcast clouds
86,Ancud,-41.8697,-73.8203,58.75,71,54,11.7,CL,broken clouds
87,Puerto Leguizamo,-0.1934,-74.7819,91.42,45,69,4.9,CO,broken clouds
88,Tallahassee,30.4383,-84.2807,49.86,77,82,1.99,US,broken clouds
89,Hobart,-42.8794,147.3294,66.06,86,18,6.91,AU,few clouds
90,Tamiahua,21.2667,-97.45,69.93,42,1,17.07,MX,clear sky
91,Chapais,49.7834,-74.8492,6.58,89,100,11.12,CA,overcast clouds
92,Cape Town,-33.9258,18.4232,74.08,56,20,14.97,ZA,few clouds
93,Hasaki,35.7333,140.8333,54.0,76,98,23.69,JP,overcast clouds
94,Puerto Escondido,15.85,-97.0667,85.08,51,3,6.71,MX,clear sky
95,Gazojak,41.1875,61.4036,15.28,72,0,9.91,TM,clear sky
96,Leningradskiy,69.3833,178.4167,-7.04,99,97,2.89,RU,overcast clouds
97,Jablah,35.3614,35.9256,46.69,81,75,13.8,SY,broken clouds
98,Kiama,-34.6833,150.8667,71.01,87,82,3.0,AU,broken clouds
99,Scanteia,46.9167,27.5667,33.85,91,76,6.76,RO,broken clouds
100,Nouakchott,18.0858,-15.9785,87.73,22,18,11.63,MR,few clouds
101,Blagoyevo,63.3667,47.9167,24.13,94,100,10.67,RU,light snow
102,Cabo San Lucas,22.8909,-109.9124,82.62,57,0,4.0,MX,clear sky
103,Tasiilaq,65.6145,-37.6368,6.78,63,100,8.03,GL,overcast clouds
104,Burnie,-41.0667,145.9167,60.96,91,19,11.61,AU,few clouds
105,Cabedelo,-6.9811,-34.8339,88.47,63,38,13.67,BR,scattered clouds
106,Lagoa,39.05,-27.9833,62.01,85,100,30.8,PT,overcast clouds
107,Luderitz,-26.6481,15.1594,68.68,65,16,23.8,NA,few clouds
108,Fayaoue,-20.65,166.5333,79.81,66,9,18.37,NC,clear sky
109,Cidreira,-30.1811,-50.2056,76.71,84,75,4.5,BR,moderate rain
110,Saldanha,-33.0117,17.9442,71.65,86,15,13.94,ZA,few clouds
111,Punta Arenas,-53.15,-70.9167,60.91,41,40,31.07,CL,scattered clouds
112,Dunedin,-45.8742,170.5036,56.8,81,66,1.99,NZ,broken clouds
113,Dingle,10.9995,122.6711,73.71,94,100,5.53,PH,light rain
114,Port Elizabeth,-33.918,25.5701,71.89,72,0,10.36,ZA,clear sky
115,Salalah,17.0151,54.0924,74.17,77,37,11.1,OM,scattered clouds
116,Sibolga,1.7427,98.7792,74.95,91,90,2.39,ID,overcast clouds
117,Muscat,23.6139,58.5922,65.43,40,36,4.81,OM,scattered clouds
118,Saquarema,-22.92,-42.5103,91.54,86,98,6.24,BR,overcast clouds
119,Port Alfred,-33.5906,26.891,71.19,84,40,1.99,ZA,scattered clouds
120,Dawei,14.0833,98.2,68.63,91,10,2.75,MM,clear sky
121,Katsuura,35.1333,140.3,59.2,73,99,26.82,JP,light rain
122,Pudozh,61.8099,36.5345,33.37,99,100,9.86,RU,overcast clouds
123,Mandalgovi,45.7625,106.2708,-4.79,53,2,6.93,MN,clear sky
124,Eureka,40.8021,-124.1637,54.19,95,100,5.01,US,overcast clouds
125,Ribeira Grande,38.5167,-28.7,64.8,88,40,24.0,PT,scattered clouds
126,Nivala,63.9167,24.9667,33.69,91,93,6.82,FI,overcast clouds
127,Upernavik,72.7868,-56.1549,0.25,71,100,5.21,GL,overcast clouds
128,Den Helder,52.9599,4.7593,48.97,78,75,28.01,NL,broken clouds
129,Sechura,-5.5569,-80.8222,80.02,54,98,8.63,PE,overcast clouds
130,Port Hedland,-20.3167,118.5667,82.45,78,58,6.91,AU,broken clouds
131,Tarakan,3.3,117.6333,79.86,79,98,2.57,ID,overcast clouds
132,Janossomorja,47.7862,17.136,44.2,84,100,6.73,HU,overcast clouds
133,Lompoc,34.6391,-120.4579,62.78,73,100,9.22,US,heavy intensity rain
134,Aklavik,68.2191,-135.0107,-9.4,84,75,10.36,CA,broken clouds
135,Tuatapere,-46.1333,167.6833,49.6,93,17,2.89,NZ,few clouds
136,Coquimbo,-29.9533,-71.3436,67.73,68,20,16.11,CL,few clouds
137,Shipunovo,52.1582,82.2173,4.64,92,100,21.74,RU,light snow
138,Saint-Pierre,-21.3393,55.4781,78.48,69,0,5.75,RE,clear sky
139,Nanortalik,60.1432,-45.2371,13.32,78,21,9.44,GL,few clouds
140,Lima,-12.0432,-77.0282,71.85,73,75,9.22,PE,broken clouds
141,Livingston,55.9029,-3.5226,41.22,87,20,8.05,GB,few clouds
142,Babu,24.4167,111.5167,66.78,92,17,3.38,CN,few clouds
143,Great Bend,38.3645,-98.7648,43.84,68,0,5.75,US,clear sky
144,Chicama,-7.8447,-79.1469,66.74,56,96,10.33,PE,overcast clouds
145,Bastia,42.6667,9.3333,58.8,70,61,5.01,FR,broken clouds
146,Castro,-24.7911,-50.0119,73.35,82,98,7.56,BR,overcast clouds
147,Vallenar,-28.5708,-70.7581,84.6,31,0,11.39,CL,clear sky
148,Pokhara,28.2333,83.9833,53.29,35,8,6.6,NP,clear sky
149,Bengkulu,-3.8004,102.2655,74.86,91,71,3.74,ID,broken clouds
150,Tuktoyaktuk,69.4541,-133.0374,-11.2,77,75,13.8,CA,broken clouds
151,Buritizeiro,-17.3511,-44.9622,83.88,65,100,2.64,BR,heavy intensity rain
152,Bethel,41.3712,-73.414,54.05,87,100,1.01,US,overcast clouds
153,Pangnirtung,66.1451,-65.7125,-14.8,76,20,6.91,CA,few clouds
154,Erenhot,43.6475,111.9767,2.19,48,100,3.4,CN,overcast clouds
155,Kodiak,57.79,-152.4072,38.44,97,100,17.29,US,moderate rain
156,Bubaque,11.2833,-15.8333,77.47,70,44,12.57,GW,scattered clouds
157,Mbaiki,3.8678,17.9892,76.37,28,65,0.45,CF,broken clouds
158,Pangody,65.85,74.4859,-7.56,98,100,15.28,RU,light snow
