City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
649,Manokwari,ID,78.4,overcast clouds,-0.8667,134.0833,Hotel Arfak
655,Castle Bruce,DM,80.65,broken clouds,15.4333,-61.2667,Sea Breeze Inn
656,Kampot,KH,75.25,broken clouds,10.6167,104.1833,Sambor Sambat Guesthouse
657,Macas,EC,83.95,few clouds,-2.3167,-78.1167,Nivel 5
681,Dagana,MR,88.29,overcast clouds,16.5165,-15.5068,Fort de Dagana
699,Paka,MY,76.41,broken clouds,4.6374,103.4368,Paka Inn
702,Jaru,BR,79.38,broken clouds,-10.4389,-62.4664,Hotel avenida
704,Port Shepstone,ZA,75.45,clear sky,-30.7414,30.455,The Spot Backpackers'
705,Antalaha,MG,76.19,moderate rain,-14.9003,50.2788,Hôtel Florida
715,Neuquen,AR,87.69,clear sky,-38.9516,-68.0591,Hotel Argentina 307
721,Kaohsiung,TW,76.03,broken clouds,22.6163,120.3133,寒軒國際大飯店
722,Wesselsbron,ZA,76.68,clear sky,-27.8549,26.3658,Wesselsbron Lodge
724,Moerai,PF,78.31,moderate rain,-22.4333,-151.3333,Manotel Rurutu
725,Pochutla,MX,86.83,clear sky,15.7432,-96.4661,Posada San Jose
732,Ampanihy,MG,75.67,scattered clouds,-24.7,44.75,Hotel restaurant Angora
