City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
475,Tombouctou,20.0,-3.0,67.32,13,0,8.81,ML,2023-01-12 19:55:51
476,Kudahuvadhoo,2.6708,72.8944,80.69,56,85,10.25,MV,2023-01-12 19:55:52
477,Barra Patuca,15.8,-84.2833,78.96,81,18,8.21,HN,2023-01-12 19:55:52
478,Miri,4.4148,114.0089,75.34,94,20,2.3,MY,2023-01-12 19:55:52
479,Lasa,46.6166,10.7002,30.02,70,85,2.33,IT,2023-01-12 19:55:52
480,Tres Lagoas,-20.7511,-51.6783,83.86,63,66,7.61,BR,2023-01-12 19:54:16
481,Kidal,18.4411,1.4078,65.91,15,2,10.71,ML,2023-01-12 19:55:53
482,Lubao,14.9167,120.55,75.27,79,77,5.23,PH,2023-01-12 19:55:53
483,Yabelo,4.8833,38.0833,64.63,31,33,15.97,ET,2023-01-12 19:55:53
484,Fukuma,33.7667,130.4667,55.4,74,100,8.86,JP,2023-01-12 19:55:53
485,Hambantota,6.1241,81.1185,71.13,81,87,11.32,LK,2023-01-12 19:55:54
486,Si Sa Ket,14.8333,104.3333,74.88,93,18,2.84,TH,2023-01-12 19:55:54
487,Soria,41.6667,-2.6667,40.86,90,100,6.06,ES,2023-01-12 19:55:54
488,Bairnsdale,-37.8333,147.6167,66.06,95,46,4.43,AU,2023-01-12 19:55:55
489,College,64.8569,-147.8028,5.58,84,100,2.55,US,2023-01-12 19:55:55
490,Sibolga,1.7427,98.7792,73.72,91,89,3.69,ID,2023-01-12 19:55:55
491,Rieti,42.4072,12.8592,44.62,78,2,3.96,IT,2023-01-12 19:55:55
492,Ostersund,63.1792,14.6357,20.43,96,98,2.46,SE,2023-01-12 19:55:56
493,Roma,43.2128,-75.4557,42.82,86,100,9.22,US,2023-01-12 19:52:03
494,Ankang,32.68,109.0172,49.15,80,0,3.49,CN,2023-01-12 19:55:56
495,Oriximina,-1.7656,-55.8661,88.72,50,99,2.66,BR,2023-01-12 19:55:56
496,Christchurch,-43.5333,172.6333,61.92,76,100,2.3,NZ,2023-01-12 19:52:01
497,Umm Lajj,25.0213,37.2685,68.54,53,0,10.25,SA,2023-01-12 19:55:56
498,Taikang,46.8333,124.4167,13.57,80,4,14.14,CN,2023-01-12 19:55:57
499,Coihaique,-45.5752,-72.0662,64.35,48,40,9.22,CL,2023-01-12 19:55:57
500,Mizdah,31.4451,12.9801,52.61,50,99,7.18,LY,2023-01-12 19:55:57
501,Vorsma,55.9856,43.2717,21.04,89,68,16.37,RU,2023-01-12 19:55:58
502,Tocopilla,-22.092,-70.1979,71.76,69,0,8.61,CL,2023-01-12 19:55:58
503,Brownsville,25.9018,-97.4975,80.1,25,26,20.65,US,2023-01-12 19:53:23
504,Hatillo,18.4863,-66.8254,83.32,81,30,7.0,PR,2023-01-12 19:55:58
505,Rio Cuarto,-33.1307,-64.3499,74.97,53,0,11.5,AR,2023-01-12 19:54:28
506,Anchorage,61.2181,-149.9003,31.64,90,100,5.01,US,2023-01-12 19:55:58
